contexto_id,plataforma,n_mensajes_utiles,n_lemas,lemas
Instagram|https://www.instagram.com/monicavtampico/,Instagram,8,465,tampico jugar corazon inclusion vivir detalle convivencia diario asamblea ciudadano loteria juego espacio excepcion increible ciudadana agudeza chispa demostrar falta disfrutar plenamente vida entusiasmo contagioso recordar importante construir tampico oportunidad gracias familia proyecto encabezar companera dra claudia sheinbaum nivel nacional companero americo tamaulipas companera presidenta monica villarreal tampico apuntar partida tampicoincluyente somostampico regidor comunidad loteriamexicana final siglo xix catedral tampico acompanar crecimiento ciudad continuar icono fotografiado centro historico majestuoso torre arquitectura tranquilidad respirar interior convertir sitio valer pena descubrir recorrser corazon ciudad olvidar vivir historia admirar belleza dejar historia formar experiencia visitatampico vivelahistoriatampico catedraldelainmaculadaconcepcion museo ciudad tampico resguardir memoria puerto sala descubriras auge comercio maritimo llegada ferrocarril industria petrolero transformar motor economico importante mexico valioso acervo historico museo contar sala interactivo permitir vivir historia forma dinamico inmersivo recorrido experiencia ideal visitante noviembre zona centro tamps vivelahistoriatampico turismotampico museodelaciudadtampico veranotampico escenario cobrar vida cierre talleres escuela artes metro vivir tarde magico lleno talento expresion emocion teatro experimental metro presentacion muestra final estudiante firme respaldo gobierno municipal seguir impulsar espacio arte cultura florecer comunidad felicitar especialmente extraordinario guia taller cargo maestro sebastian barron impulsar potencial creativo alumno escenario baul taller teatro adolescentes puesto escena lleno misterio dinamismo equipo cautivar publico principio vaiven taller danza contemporanea adolescentes adultos pieza coreografico impecable movimiento musica tecnica transmitir profundo fuerza expresivo felicidad alumno dedicacion inicio trayectoria artistico tampicovacontodo elartevacontodo escueladeartesmetro teatrotampico danzacontemporanea culturatampico sebastianbarron celebrar desarrollo artistico comunidad escuela artes metro vestir gala exitoso presentacion obra archivados muestra reunir talento creatividad taller teatro juvenil adultos direccion maestro juan lory respaldo presidenta monica zacil villarreal anaya gobierno municipal espacio cultural metropolitano continuar impulsar espacio fortalecer formacion artistico acercar arte comunidad interpretacion escenario reflejar aprendizaje dedicacion expresion formar taller vida puesta escena alto talento desarrollo artistico comunidad esperar logro inspirir persona formar escuela artes metro ciclo descubrir teatro ofrecer tampicotecuida tampicovacontodo elartevacontodo escueladeartesmetro teatrotampico juanlory talleres verano metro verano oportunidad perfecto descubrir talento instruccion presidenta municipal monica zacil villarreal anaya gobierno municipal escuela artes compartir oferta talleres artisticos verano inscribetir informes quedser cursos semanas agosto teatro juvenil ano danza contemp ano cursos semanas agosto ninos adolescentes ano folklore ano pintura ano inicio lunes agosto ninos jovenes adultos piano inicio lunes agosto ninos jovenes adultos mixto edad violin iniciacion musical inicio martes agosto joven adultos folklore canto anos pintura anos inicio lunes joven combate escenico iniciar mar ago fotografia embarcate paseo laguna carpintero descubrir escenario agua vegetacion fauna convivir perfecto armonia recorrser emblematico espacio podrar observar ave flora caracteristico region iconico cocodrilo formar ecosistema recorrido invitar mirar ciudad calma admirar riqueza natural llevarte experiencia inolvidable muelle principal parque laguna carpintero blvd adolfo lopez mateos frente expo sientelaadrenalinatampico turismotampico visitatampico mama dafne quintos exigir justicia fallecimiento hija academia militarizada marina doenitz ciudad madero tamaulipas presunto responsable director jorge luis ponce sargento estrella mora ciudadmadero chisme
Medios|https://www.milenio.com/opinion/editoriales/se-dice-en-la-grilla-tamaulipas/la-grilla_1221,Medios,1,108,sur tamaulipas volver llamar atencion nivel nacional puerta firma pacto encabezado canaco nacional autoridad tampico evento cualquiera medida atribuir gestion eduardo manzur atraer encuentro relevancia motivo empresario pais decidir visitar sur tamaulipas decision presidente canaco nacional octavio torre steffano identificar puerto jaibo ciudad consolidado materia comercio seguridad considerar secretaria economia gobierno tamaulipas ninfa cantu perfil tomar rumbo prospecta morena sucesion prueba fuego superar aduana politico partido verde abrir registro aspirir coordinar partidista municipio mensaje buscar fortalecer posicion frente morena eventual negociacion alianza querer aliado partido peso suficiente influir definicion decision final seguir dirigencia nacional jose brana mojica anunciar solicitar licencia buscar oportunidad electoral cabe recordar llegar camara diputados
Facebook|https://www.facebook.com/reel/998640029614136/,Facebook,2,58,ciclo escolar instruccion presidenta municipal tampico monica zacil villarreal anaya programa prevencion violencias entorno escolar direccion prevencion delito escuela beneficiar estudiante gracias plantel abrirnos puerta cuerpo directivo docente escuela mil estudiante impartir conferencia desear divertido vacacion ciclo escolar seguir construir tampico paz tampico tampico tampicovacontodos escuela vacacion excelente labor felicitar ayuntamiento tampico sensibilizar nina nino adolescente prevencion delito
Facebook|https://www.facebook.com/monicavtampico/posts/pfbid02f1LYRU6eoWf9ajJiiMkMKs2DA7XVSJ1vsxf4TGs3yjpxm4UrX37rJhAP1hgyRYdYl,Facebook,3,72,manana reuni afiliado cmic tamaulipas compartir avance lograr area importante seguir transformar tampico presentar actual inversion programa obra publica sumar millon pesos inversion municipal millon pesos gestionado gobierno millon pesos destinado desarrollo ciudad agradecer cmic entrega cheque dif tampico fortalecer labor favor necesitar entrega cheque municipio elaboracion proyecto ejecutivo permitir seguir impulsar obra estrategico crecimiento tampico seguir mano sector construir tampico desarrollo oportunidad resultado reflejar calidad vida tampiqueno equipo clave exito seguir
Medios|https://www.milenio.com/negocios/corredor-industrial-altamira-oportunidad-economica-tamaulipas-cepal,Medios,1,109,corredor industrial sur tamaulipas concentrar actividad economico representar oportunidad diversificar economia elevar competitividad ano concluir estudio comision economica america latina caribe cepal analisis organismo naciones unidas identificar complejo petroquimico asentado altamira plataforma etapa desarrollo industrial entidad ecosistema solido region concentrar producto interno bruto estatal generar albergar complejo petroquimico importante america latina cuyo exportacion llegar pais reconocer autor estudio nahuel oddone federico stezano diversificacion economico principal reto tamaulipas cepal advertir liderazgo garantizar crecimiento sostenido desafio consistir convertir fortaleza industria petroquimico motor diversificacion capaz desarrollar cadena integrar proveedor local incorporar micro pequeno mediano empresa impulsar innovacion eje permanente desarrollo productivo analisis formar estudio iniciativa articulacion productiva territorial iapt entidad pais concl
Facebook|https://www.facebook.com/reel/3688042501347984/,Facebook,1,38,manana reuni afiliado cmic tamaulipas compartir avance lograr tampico contar inversion millon pesos obra publico resultado suma recurso municipal gobierno agradecer cmic entrega cheque dif tampico fortalecer labor social municipio elaboracion proyecto ejecutivo impulsar desarrollo tampico tampicovacontodo tampicotecuida
Medios|https://www.milenio.com/estados/canaco-exige-conagua-reinvierta-recursos-tamaulipas,Medios,1,105,inversion comision nacional agua conagua deber obligatorio ley entidad tamaulipas acuerdo cobro objetivo sacar proyecto anti inundacion pendiente decada presidente camara nacional comercio canaco tampico eduardo manzur asegurar deber forma etiquetar recurso cuenca pais deber obligacion ley regresar obra servicio beneficio cuenca administrar obras inundacion seguir pendiente sur tamaulipas insistir empresario tampiqueno serie proyecto pendiente ano obra inundacion tampico madero altamira proyecto buscar contencion agua frente sequia quedar tintero reclamo sociedad civil sector empresarial cobro conagua extraccion explotacion manto acuifero administrar nulo retorno inversion sentido disposicion generar recurso recalcar obra tampico hidrotunel ejercito mexicano dren martock decada pendiente obra anti inundacion madero dren evitar problema
Facebook|https://www.facebook.com/reel/4010071035966180/,Facebook,4,34,gracias maestra tere docente madre padre familia escuela primaria vicente guerrero colonia lopez portillo calido recibimiento hermoso detalle seguir atender gestion pronto barda quedar completamente rehabilitado saludo cadereyta alcaldesa monico excelente merecer presidenta tampicotecuida
Medios|https://www.milenio.com/politica/repartiran-entre-partidos-de-tamaulipas-cerca-de-90-mdp,Medios,1,102,partido politico registro tamaulipas reducido financiamiento publico recibir semestre ano incorporacion fuerza politica nacional paz mexico derecho prerrogativa estatal obtener acreditacion entidad ietam ajustar prerrogativa morena pan verde pri presidente instituto electoral tamaulipas ietam juan jose ramos charre informar ajuste financiamiento pendiente ministrar morena pan verde pri restar cuyo remanente agosto diciembre ascender millon pesos paz mexico recibir financiamiento estatal explicar redistribucion comenzar previsiblemente quincena julio cifra aumentar monto definitivo depender fecha partido concluir proceso acreditacion organismo electoral martes unicamente paz presentar solicitud acreditacion ietam mexico iniciar tramite distribucion recurso permanecer pendiente partido derecho prerrogativa pendiente sesion comision prerrogativas partidos asociaciones politicas
Medios|https://www.milenio.com/estados/tamaulipas-entre-las-entidades-con-mayor-satisfaccion-con-la-vida,Medios,1,102,tamaulipas posicionar entidad pais cuyo poblacion mostrar nivel satisfaccion vida acuerdo resultado encuesta nacional bienestar autorreportado enbiare difundido inegi nivel satisfaccion vida tamaulipas promedio superar coahuila ubicar durango sinaloa baja california sur completar grupo entidad nivel bienestar subjetivo habitante mujer tamaulipas destacar nivel nacional compartir sonora calificacion promedio unicamente debajo baja california sur reflejar percepcion positivo calidad vida factor social economico personal nivel nacional enbiare revelar persona ano experimentar evento negativo mes perdida ingreso desempleo rechazo laboral enfermedad accidente reportar vivir acontecimiento positivo enfermedad grave contraer matrimonio adquirir propiedad resolver conflicto personal legal encuesta encontrar poblacion sufrir situacion discriminacion ano manifestar dificu
Medios|https://www.milenio.com/negocios/construccion-vivienda-tamaulipas-estanca-altos-costos,Medios,1,117,construccion vivienda tamaulipas presente ano estancar empresarios sector afirmar factor costo insumo baja terreno caro impactar animo inversionista ejecutar proyecto residencia situacion similar rubro industrial enfatizar banco mexico banxico capital privado destinado aprovechar condicion ofrecido desarrollar torre departamental nave industrial mes inhibir intencion explicar encuesta sector privado ubicado norte republica mexicana estacion reflejar chihuahua baja california banxico reportar caida desarrollo habitacional informe publicado banco central autonomo explicar segmento vivienda directivo informar inversion desarrollo disminuir desempeno atribuir factor observado trimestre previo menor dinamismo formal encarecimiento suelo urbano aumento costo construccion limitar demanda especialmente segmento medio residencial mencionar vivienda social mantener impulso programa federal situacion oponer rubro hogar sector popular social gobierno federal programa viviendas dell bienestar impulsar edificacion
Medios|https://www.milenio.com/estados/cocodrilos-se-enfrentan-en-la-laguna-del-carpintero-por-territorio,Medios,1,102,laguna carpintero atractivo turistico excelencia tampico cabo batalla silencioso atencion dominio ecosistema cocodrilos guerra cocodrilo joven alcanzar metro protagonista historia final feliz referir terminar exilio tragico significar terminar vida fauz cocodrilo alpha mayo julio ano documentar muerte cocodrilo macho menor tamano aparecer muerto dano herida raspon diverso cuerpo partido mitad encontrar recientemente autoridad ambiental oceanologo marcelo rene garcia explicar joven perder batalla rey laguna macho dominante especie dominante territorial existir posibilidad acercar demasiado nido tratar comportamiento normal cocodrilo grande dominant buscar considerar competencia especie territorial nacimiento explicar experto medio ambiente detallar ecosistema medio efervescencia importante epoca anidacion generar especimen pequeno buscar nido
Facebook|https://www.facebook.com/monicavtampico/videos/899364353246397/,Facebook,2,8,inauguracion exposicion bodies espacio cultural metropolitano exposicion alcaldesa
TikTok|https://www.tiktok.com/@prevenciondelitotampico,TikTok,1,47,gobierno municipal tampico encabezar presidenta monica zacil villarreal anaya invitar vivir experiencia extraordinario aprendizaje diversion unificar hacerte escuadron elite mini guardianes accion direccion prevencion delito puedes con reto cita jueves julio manana centro bienestar paz colonia solidaridad voluntad entrada gratuito limite edad tampico tampicotecuida ninas ninos viral
Medios|https://oem.com.mx/elsoldetampico/local/dia-del-perro-en-tampico-habra-concursos-premios-y-diversion-para-las-mascotas-31134219,Medios,1,21,localmiercoles julio dia perro tampico concurso premio diversion mascota actividad gratuito incluir loteria dinamico concurso foto fortalecer cuidado responsable yadira hernandez
Medios|https://www.milenio.com/estados/rina-entre-policias-y-civiles-en-altamira,Medios,1,83,presuntamente familiar requeer atencion clinica medico sistema dif altamira querer atender forma inmediato noche martes registrar discusion empleado dependencia municipal particular demandar presencia guardia estatal pretender entrar fuerza centro atencion medico detener civil rina altamira secretario ayuntamiento jose francisco perez ramirez senalar pedir apoyo corporacion seguridad publico arribar unidad elemento discusion civil agente seguridad detencion persona caso similar semana comentario torno situacion ocurrir noche funcionario municipal senalar problema registrar semana poblacion desesperar demandar atencion medico rapido instalacion capacidad prestacion servicio rebasado demanda ocasion
Twitter|https://x.com/MonicaVTampico/status/2077484366452691260,Twitter,1,22,reuni afiliado cmic tamaulipas compartir avance programa obra publica sumar millon pesos inversion desarrollo tampico agradecer respaldo seguir impulsar proyecto estrategico ciudad
Facebook|https://www.facebook.com/monicavtampico/posts/pfbid08A3GawnDzPHXXpuPE5NafbHAVALfuqZiEVwAnwBdEtD5f2SbPukGBMCnn8HExXfal,Facebook,2,77,inaugurar exposicion bodies muestra anatomia humano impactant mundo recorrer pais recibir millon visitante consolidir destino apostar cultura conocimiento turismo experiencia alla exposicion pabellon tampico cuidar direccion salud distrito salud bienestar acercar familia servicio gratuito prevencion promocion salud deteccion vih hepatitis vacunacion prevencion cancer mama orientacion nutricional programa cecodiat lonchera plato saludable invitar extraordinario exposicion seguir disfrutar tampico ofrecer espacio cultural metropolitano metro julio costo boleto individual paquete familiar persona paquete amigos persona puntos venta comentario excelente tampicotecuida
Medios|https://www.milenio.com/estados/choque-de-autobus-contra-auto-en-el-norte-de-veracruz,Medios,1,117,autobus pasajero linea hola impactar automovil particular carretera federal costera golfo reportar persona muerto herido accidente ocurrir miercoles carretera tramo alamo temapache cerro azul persona fallecido victima identificar nombre diana juan viajar automovil originario cerro azul persona fallecido regresar cerro azul auto tsuru asistir baile feria comunidad potrero llano municipio alamo temapache pasajero lesionado auxiliar paramedico corporacion emergencia cerro azul potrero llano municipio alamo proteccion civil municipal trasladar hospital cerro azul tramo carretero felipe cerrar parcialmente circulacion atender siniestro zona permanecer acordonado elemento ejercito mexicano guardia nacional veracruzanos lesionado accidente tamaulipas tamaulipas autobus recorer ruta monterrey leon tantoyuca veracruz accidentar dejar resultado persona lesionado siniestro registrar carretera altura estacion san francisco tamaulipas conductor trailer involucrado fuga hcm
Medios|https://oem.com.mx/elsoldetampico/deportes/la-maquinita-vazquez-el-tampiqueno-que-suena-con-debutar-a-nivel-profesional-en-el-boxeo-mexicano-31119089,Medios,1,23,deportesmiercol julio maquinita vazquez tampiqueno sonar debutar nivel profesional boxeo mexicano campeon olimpico nacional racha invicto tamaulipeco proyectar joven promesa pugilismo gustavo corona
