posicion_id,tema_id,posicion_num,nombre,resumen,n_cuentas,n_msgs,n_palabras_tema,top_words,top_subclusters,plataformas,mono_tema_share,top5_cuentas_share,hhi_cuentas,max_hour_share,duplicate_share,top_url_share,ibea_score,ibea_nivel,postura_actor,postura_actor_etiqueta,postura_actor_score,postura_actor_apoyo,postura_actor_critica,postura_actor_evidencia,postura_actor_referencias,postura_actor_mensajes
T00_P1,0,1,Felicitaciones y expresiones de afecto,"Felicitaciones y expresiones de afecto. Grupo de 171 cuentas dentro de Apoyo y aprobación pública · mundial; usa principalmente felicidad, felicidades, feliz, grande, bendigar, bendicion. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",171,368,840,"felicidad, felicidades, feliz, grande, bendigar, bendicion, agradecer, mundial, dia, espiritu, exito, sigar, querido, esfuerzo, abrazo, orgullo, gusto, celebrar, reconocer, logro, felicitar, alegria, enhorabuena, cumpleanos, dedicacion, liderazgo, copa, invitado, profesional, reconocimiento, deportivo, torneo, prosperidad, emocion, corona","S2:227, S3:188, S1:135, S0:92, S4:62, S7:57","{""YouTube"": 101, ""Twitter"": 42, ""Facebook"": 28}",0.0058,0.1774,0.0118,0.0217,0.038,0.6667,30.7,bajo,apoyo_defensa,Apoyo/defensa,1.0,41.0,0.0,41.0,56,24
T00_P2,0,2,Felicitaciones y expresiones de afecto,"Felicitaciones y expresiones de afecto. Grupo de 214 cuentas dentro de Apoyo y aprobación pública · mundial; usa principalmente feliz, bendicion, querido, abrazo, bendigar, bendecido. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",214,270,787,"feliz, bendicion, querido, abrazo, bendigar, bendecido, exito, prosperidad, felicidad, orgulloso, grande, dia, esfuerzo, felicidades, invitado, cumpleanos, especialmente, orgullo, lleno, llenar, agradecer, espiritu, sigar, dedicacion, celebrar, alegria, profesional, corona, gusto, logro","S3:665, S2:47, S4:26, S1:14, S7:12, S5:10","{""YouTube"": 205, ""Twitter"": 8, ""Facebook"": 1}",0.0,0.0648,0.0053,0.1296,0.0296,1.0,43.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T00_P3,0,3,Felicitaciones y expresiones de afecto,"Felicitaciones y expresiones de afecto. Grupo de 109 cuentas dentro de Apoyo y aprobación pública · mundial; usa principalmente dia, feliz, bendicion, abrazo, bendigar, felicidad. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",109,172,478,"dia, feliz, bendicion, abrazo, bendigar, felicidad, querido, celebrar, mundial, agradecer, bendecido, cumpleanos, grande, lleno, orgulloso, exito, gusto, llenar, orgullo, esfuerzo, talento, espiritu, emocion, logro, alegria, felicidades, reconocer, enhorabuena, mty, invitado, detalle, felicitar, especialmente, invitacion, honrar","S4:240, S3:142, S2:30, S1:17, S5:14, S0:13","{""YouTube"": 68, ""Twitter"": 36, ""Facebook"": 5}",0.0,0.1548,0.013,0.0581,0.0523,0.5,36.9,bajo,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,16,1
T00_P4,0,4,Felicitaciones y expresiones de afecto,"Felicitaciones y expresiones de afecto. Grupo de 60 cuentas dentro de Apoyo y aprobación pública · mundial; usa principalmente lleno, bendicion, feliz, exito, alegria, abrazo. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",60,72,220,"lleno, bendicion, feliz, exito, alegria, abrazo, dia, querido, logro, bendigar, prosperidad, felicidad, felicidades, llenar, sigar, gusto, agradecer, bendecido, espiritu, invitado, orgullo, profesional, talento","S3:97, S6:73, S2:31, S4:10, S5:5, S7:2","{""YouTube"": 53, ""Twitter"": 6, ""Facebook"": 1}",0.0,0.1455,0.0181,0.0833,0.0278,1.0,38.2,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T01_P1,1,1,"Perspectiva sobre movilidad e infraestructura urbana · permanecer, con énfasis en desaparecer","Perspectiva sobre movilidad e infraestructura urbana · permanecer, con énfasis en desaparecer. Grupo de 23 cuentas dentro de Movilidad e infraestructura urbana · permanecer; usa principalmente desaparecer, avisar, urgente, cita, provincia, aroma. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",23,42,130,"desaparecer, avisar, urgente, cita, provincia, aroma, vestir, aire, capital, extorsion, nefasto, detras, perico, republicano, secuestro, zapatilla, ten, palo, grandeza, fidel, miel, cantar, consejo, quemar, decidir, center, afrontar, acuerdense, ajedrez, chism, contestar, conquistar, leticia, inflado, ideal","S2:53, S1:18, S7:16, S3:14, S4:13, S5:9","{""YouTube"": 12, ""Twitter"": 10, ""Facebook"": 1}",0.0,0.5692,0.1528,0.0714,0.0,1.0,43.1,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,6,0
T01_P2,1,2,Quejas y solicitudes sobre servicios públicos,"Quejas y solicitudes sobre servicios públicos. Grupo de 20 cuentas dentro de Movilidad e infraestructura urbana · permanecer; usa principalmente basura, camion, recoleccion, contenedor, limpieza, aire. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",20,36,95,"basura, camion, recoleccion, contenedor, limpieza, aire, brillir, evidencia","S0:92, S3:1, S4:1, S6:1","{""Twitter"": 15, ""Facebook"": 3, ""YouTube"": 2}",0.0,0.4421,0.0673,0.0833,0.0278,0.0,29.4,bajo,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0,12,2
T02_P1,2,1,"Perspectiva sobre comunidad, familia y vida cotidiana · zona, con énfasis en zona","Perspectiva sobre comunidad, familia y vida cotidiana · zona, con énfasis en zona. Grupo de 131 cuentas dentro de Comunidad, familia y vida cotidiana · zona; usa principalmente zona, minimo, policia, trabajador, norte, guardia. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",131,177,531,"zona, minimo, policia, trabajador, norte, guardia, afectar, persona, elemento, tienda, unidad, situacion, personal, transito, mantener, acuerdo, operativo, refugio, direccion, laboral, alcanzar, mitad, agente, canasta, vigilancia, numero, conductor, ocurrir, labor, angeles, emergencia, fuego, ofender, salvador, permanente","S0:136, S6:80, S12:62, S1:59, S2:44, S3:44","{""YouTube"": 99, ""Twitter"": 28, ""Facebook"": 4}",0.0,0.1582,0.0127,0.0339,0.0282,0.3333,27.9,bajo,apoyo_defensa,Apoyo/defensa,1.0,10.0,0.0,10.0,29,6
T02_P2,2,2,"Perspectiva sobre comunidad, familia y vida cotidiana · zona, con énfasis en persona","Perspectiva sobre comunidad, familia y vida cotidiana · zona, con énfasis en persona. Grupo de 47 cuentas dentro de Comunidad, familia y vida cotidiana · zona; usa principalmente persona, policia, labor, situacion, afectar, minimo. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",47,58,172,"persona, policia, labor, situacion, afectar, minimo, personal, guardia, acuerdo, direccion, temporal, posibilidad, salvador, mantener, incidente, acompanado, emergencia, mitad, ministerio, habitante, agente, boleto, cercano, conductor, norte, signo, mortal, trabajador, unidad, vialidad, vigilancia, vital, zona","S3:119, S0:9, S4:9, S12:8, S6:6, S2:6","{""YouTube"": 40, ""Twitter"": 6, ""Facebook"": 1}",0.0,0.186,0.024,0.0345,0.0172,0.0,12.8,bajo,critica_oposicion,Crítica/oposición,-1.0,0.0,1.0,1.0,7,1
T03_P1,3,1,"Perspectiva sobre educación, accidentes y actividad petrolera, con énfasis en comida","Perspectiva sobre educación, accidentes y actividad petrolera, con énfasis en comida. Grupo de 47 cuentas dentro de Educación, accidentes y actividad petrolera; usa principalmente comida, petrolero, top, cuerpo, extranjero, gratuito. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",47,69,219,"comida, petrolero, top, cuerpo, extranjero, gratuito, abuelo, invitar, bombero, pemex, sanchez, crear, marzo, compania, cuidir, dulce, latino, bandido, causa, navidena, temporada, gratis, magia, accidente, enviar, prieto, prevalecer, refineria, benjamin, costo, maniobra, medida, sindicato, division, acceso","S2:58, S4:52, S1:27, S5:26, S7:22, S6:16","{""YouTube"": 29, ""Twitter"": 15, ""Facebook"": 3}",0.0,0.3836,0.0452,0.029,0.0725,0.1429,29.8,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,4,0
T03_P2,3,2,"Perspectiva sobre educación, accidentes y actividad petrolera, con énfasis en educacion","Perspectiva sobre educación, accidentes y actividad petrolera, con énfasis en educacion. Grupo de 13 cuentas dentro de Educación, accidentes y actividad petrolera; usa principalmente educacion, alumno, educativo, maestro, asesor, estudiante. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",13,24,53,"educacion, alumno, educativo, maestro, asesor, estudiante, secundaria, gratis, azucar, arrancar, barra, castillo, heroico, gratuito, marzo, latino, medicina, millonario, precisar, primaria","S0:40, S2:4, S4:3, S7:3, S1:1, S5:1","{""YouTube"": 8, ""Twitter"": 5}",0.0,0.4906,0.0822,0.1667,0.0,0.0,39.9,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,3,0
