posicion_id,tema_id,posicion_num,nombre,resumen,n_cuentas,n_msgs,n_palabras_tema,top_words,top_subclusters,plataformas,mono_tema_share,top5_cuentas_share,hhi_cuentas,max_hour_share,duplicate_share,top_url_share,ibea_score,ibea_nivel,postura_actor,postura_actor_etiqueta,postura_actor_score,postura_actor_apoyo,postura_actor_critica,postura_actor_evidencia,postura_actor_referencias,postura_actor_mensajes
T00_P1,0,1,"Perspectiva sobre t00: maria, situacion, macias, con énfasis en administracion","Perspectiva sobre t00: maria, situacion, macias, con énfasis en administracion. Grupo de 1 cuentas dentro de T00: maria, situacion, macias; usa principalmente administracion, empresarial, sector, solucion. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",1,2,4,"administracion, empresarial, sector, solucion","S5:2, S2:1, S7:1","{""Twitter"": 1}",0.0,1.0,1.0,0.5,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,1,0
T01_P1,1,1,"Obras, vivienda y desarrollo urbano","Obras, vivienda y desarrollo urbano. Grupo de 5 cuentas dentro de T01: pesos, millon, proyecto; usa principalmente millon, inversion, proyecto, importante, construccion, compartir. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",5,10,50,"millon, inversion, proyecto, importante, construccion, compartir, pesos, cmic, conectar, noreste, norte, region","S0:15, S2:10, S3:7, S5:5, S1:5, S4:3","{""TikTok"": 2, ""Twitter"": 2, ""YouTube"": 1}",0.0,1.0,0.2584,0.1,0.0,0.0,29.6,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,4,0
T02_P1,2,1,"Perspectiva sobre t02: nacional, puerto, nivel, con énfasis en presidente","Perspectiva sobre t02: nacional, puerto, nivel, con énfasis en presidente. Grupo de 17 cuentas dentro de T02: nacional, puerto, nivel; usa principalmente presidente, nacional, tren, turistico, firma, visitante. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",17,30,116,"presidente, nacional, tren, turistico, firma, visitante, evento, octavio, aduana, pacto, puerto, torre","S1:43, S0:21, S2:14, S3:11, S4:10, S6:9","{""YouTube"": 9, ""Twitter"": 4, ""Facebook"": 2, ""Instagram"": 1, ""TikTok"": 1}",0.0,0.5862,0.0942,0.1,0.0667,0.6296,54.0,medio,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,20,1
T03_P1,3,1,"Perspectiva sobre t03: doenitz, cdmx, carpeta, con énfasis en madre","Perspectiva sobre t03: doenitz, cdmx, carpeta, con énfasis en madre. Grupo de 26 cuentas dentro de T03: doenitz, cdmx, carpeta; usa principalmente madre, carpeta, doenitz, favor, dolor, video. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",26,43,182,"madre, carpeta, doenitz, favor, dolor, video, muerte, cdmx, periodista, miedo, trayectoria, suceder","S2:44, S3:39, S5:33, S0:21, S4:20, S1:17","{""YouTube"": 22, ""Twitter"": 4}",0.0,0.5769,0.1383,0.0698,0.0465,1.0,47.3,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T04_P1,4,1,"Perspectiva sobre t04: comenzar, delito, proceso, con énfasis en cabeza","Perspectiva sobre t04: comenzar, delito, proceso, con énfasis en cabeza. Grupo de 21 cuentas dentro de T04: comenzar, delito, proceso; usa principalmente cabeza, vaca, proceso, delito, detener, judicial. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",21,27,92,"cabeza, vaca, proceso, delito, detener, judicial, humanos, resultar, ley, probable, acompanar, policia","S4:17, S9:16, S2:14, S0:12, S5:10, S7:7","{""YouTube"": 15, ""Twitter"": 6}",0.0476,0.3804,0.0593,0.1481,0.037,0.0,39.5,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,2,0
T04_P2,4,2,Reclamos de seguridad y justicia,"Reclamos de seguridad y justicia. Grupo de 16 cuentas dentro de T04: comenzar, delito, proceso; usa principalmente pasar, detener, aparecer, mover, delito, policia. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",16,20,61,"pasar, detener, aparecer, mover, delito, policia, pena, control, denunciar, irregularidad, homicidio, familiar","S1:35, S4:8, S3:6, S0:4, S8:4, S2:2","{""YouTube"": 14, ""Twitter"": 2}",0.0,0.459,0.0766,0.1,0.1,0.0,39.2,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,4,0
T05_P1,5,1,"Perspectiva sobre t05: militarizado, secretaria, institucion, con énfasis en militarizado","Perspectiva sobre t05: militarizado, secretaria, institucion, con énfasis en militarizado. Grupo de 26 cuentas dentro de T05: militarizado, secretaria, institucion; usa principalmente militarizado, laura, martinez, medio, permiso, dia. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",26,28,90,"militarizado, laura, martinez, medio, permiso, dia, juana, autoridad, tratar, plantel, real, secretaria","S0:27, S2:21, S7:10, S4:8, S5:6, S1:5","{""YouTube"": 17, ""Twitter"": 9}",0.0,0.2667,0.0405,0.1429,0.1071,1.0,58.8,medio,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0,7,2
T06_P1,6,1,"Familia, cuidados y vida comunitaria","Familia, cuidados y vida comunitaria. Grupo de 240 cuentas dentro de T06: deber, escuela, nina; usa principalmente nina, deber, hija, querer, carcel, hijo. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",240,300,1181,"nina, deber, hija, querer, carcel, hijo, culpable, mal, cosa, campamento, senora, escuela","S2:177, S0:166, S1:154, S5:99, S4:91, S3:87","{""YouTube"": 234, ""Twitter"": 6}",0.0667,0.0923,0.0061,0.04,0.0033,1.0,28.9,bajo,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,1,1
T06_P2,6,2,"Perspectiva sobre t06: deber, escuela, nina, con énfasis en escuela","Perspectiva sobre t06: deber, escuela, nina, con énfasis en escuela. Grupo de 118 cuentas dentro de T06: deber, escuela, nina; usa principalmente escuela, militar, hijo, deber, investigar, campamento. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",118,151,660,"escuela, militar, hijo, deber, investigar, campamento, disciplina, dejar, colegio, meter, nina, padre","S0:296, S2:96, S6:39, S11:36, S7:32, S4:24","{""YouTube"": 118}",0.0763,0.1303,0.0115,0.053,0.0,0.5,32.0,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T06_P3,6,3,"Familia, cuidados y vida comunitaria","Familia, cuidados y vida comunitaria. Grupo de 80 cuentas dentro de T06: deber, escuela, nina; usa principalmente hijo, padre, dejar, deber, escuela, campamento. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",80,95,465,"hijo, padre, dejar, deber, escuela, campamento, meter, querer, culpa, entender, hija, manos","S2:148, S-1:91, S0:43, S8:40, S7:34, S5:22","{""YouTube"": 80}",0.15,0.1355,0.0149,0.0526,0.0,1.0,33.8,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
