node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
tamaulipas,palabra,tamaulipas,,0.0,,neutral,0.0,0.0,0.0,0.0
tampico,palabra,tampico,,0.0,,neutral,0.0,0.0,0.0,0.0
madero,palabra,madero,,0.0,,neutral,0.0,0.0,0.0,0.0
altamira,palabra,altamira,,0.0,,neutral,0.0,0.0,0.0,0.0
cdvictoria,palabra,cdvictoria,,0.0,,neutral,0.0,0.0,0.0,0.0
reynosa,palabra,reynosa,,0.0,,neutral,0.0,0.0,0.0,0.0
matamoros,palabra,matamoros,,0.0,,neutral,0.0,0.0,0.0,0.0
nuevolaredo,palabra,nuevolaredo,,0.0,,neutral,0.0,0.0,0.0,0.0
cdmadero,palabra,cdmadero,,0.0,,neutral,0.0,0.0,0.0,0.0
leer,palabra,leer,,0.0,,neutral,0.0,0.0,0.0,0.0
monterrey,palabra,monterrey,,0.0,,neutral,0.0,0.0,0.0,0.0
ganador,palabra,ganador,,0.0,,positiva,1.0,1.0,0.0,1.0
beca,palabra,beca,Morena,0.6999,Morena,neutral,0.0,0.0,0.0,1.0
nld,palabra,nld,,0.0,,neutral,0.0,0.0,0.0,0.0
cesar,palabra,cesar,,0.0,,neutral,0.0,0.0,0.0,0.0
registrado,palabra,registrado,,0.0,,neutral,0.0,0.0,0.0,0.0
agencia,palabra,agencia,,0.0,,neutral,0.0,0.0,0.0,0.0
leal,palabra,leal,,0.0,,positiva,1.0,1.0,0.0,1.0
toluca,palabra,toluca,,0.0,,neutral,0.0,0.0,0.0,0.0
laredo,palabra,laredo,,0.0,,neutral,0.0,0.0,0.0,0.0
nuevoleon,palabra,nuevoleon,,0.0,,neutral,0.0,0.0,0.0,0.0
cafe,palabra,cafe,,0.0,,neutral,0.0,0.0,0.0,0.0
convocatoria,palabra,convocatoria,,0.0,,neutral,0.0,0.0,0.0,0.0
aficion,palabra,aficion,,0.0,,positiva,1.0,1.0,0.0,1.0
ideal,palabra,ideal,,0.0,,positiva,1.0,1.0,0.0,1.0
sorprender,palabra,sorprender,,0.0,,neutral,0.0,0.0,0.0,0.0
gabriela,palabra,gabriela,,0.0,,neutral,0.0,0.0,0.0,0.0
capitulo,palabra,capitulo,,0.0,,neutral,0.0,0.0,0.0,0.0
infancia,palabra,infancia,,0.0,,neutral,0.0,0.0,0.0,0.0
himno,palabra,himno,,0.0,,neutral,0.0,0.0,0.0,0.0
esencia,palabra,esencia,,0.0,,neutral,0.0,0.0,0.0,0.0
biblioteca,palabra,biblioteca,,0.0,,neutral,0.0,0.0,0.0,0.0
directiva,palabra,directiva,,0.0,,neutral,0.0,0.0,0.0,0.0
hernan,palabra,hernan,,0.0,,neutral,0.0,0.0,0.0,0.0
castaneda,palabra,castaneda,,0.0,,neutral,0.0,0.0,0.0,0.0
rojas,palabra,rojas,,0.0,,neutral,0.0,0.0,0.0,0.0
imaginacion,palabra,imaginacion,,0.0,,neutral,0.0,0.0,0.0,0.0
acompanenme,palabra,acompanenme,,0.0,,neutral,0.0,0.0,0.0,0.0
enfermera,palabra,enfermera,,0.0,,neutral,0.0,0.0,0.0,0.0
patriota,palabra,patriota,,0.0,,positiva,1.0,1.0,0.0,1.0
extorsionar,palabra,extorsionar,Corrupcion,0.6964,Corrupcion | Delitos,neutral,0.0,0.0,0.0,1.0
captar,palabra,captar,,0.0,,neutral,0.0,0.0,0.0,0.0
democratico,palabra,democratico,,0.0,,neutral,0.0,0.0,0.0,0.0
casar,palabra,casar,,0.0,,neutral,0.0,0.0,0.0,0.0
poseer,palabra,poseer,,0.0,,neutral,0.0,0.0,0.0,0.0
tirania,palabra,tirania,,0.0,,negativa,-1.0,0.0,1.0,1.0
manipulacion,palabra,manipulacion,,0.0,,negativa,-1.0,0.0,1.0,1.0
salir,palabra,salir,,0.0,,neutral,0.0,0.0,0.0,0.0
venir,palabra,venir,,0.0,,neutral,0.0,0.0,0.0,0.0
pensar,palabra,pensar,,0.0,,neutral,0.0,0.0,0.0,0.0
entrar,palabra,entrar,,0.0,,neutral,0.0,0.0,0.0,0.0
preguntar,palabra,preguntar,,0.0,,neutral,0.0,0.0,0.0,0.0
