posicion_id,tema_id,posicion_num,nombre,nombre_corto,resumen,n_cuentas,n_msgs,n_palabras_tema,top_words,top_subclusters,plataformas,mono_tema_share,top5_cuentas_share,hhi_cuentas,max_hour_share,duplicate_share,top_url_share,ibea_score,ibea_nivel,postura_actor,postura_actor_etiqueta,postura_actor_score,postura_actor_apoyo,postura_actor_critica,postura_actor_evidencia,postura_actor_referencias,postura_actor_mensajes
T00_P1,0,1,"Perspectiva sobre gestión municipal y servicios públicos · impulsar, con énfasis en tampico",Tampico Villarreal Monica,"Perspectiva sobre gestión municipal y servicios públicos · impulsar, con énfasis en tampico. Grupo de 42 cuentas dentro de Gestión municipal y servicios públicos · impulsar; usa principalmente tampico, villarreal, monica, municipal, alcaldesa, impulsar. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",42,197,741,"tampico, villarreal, monica, municipal, alcaldesa, impulsar, seguir, tampicotecuida, centro, historico, turismo, deportivo, oportunidad, deportiva, gracias, entrada, nino, esperar, festival, excelente, equipo, renovar, clase, salud, generar, emprendedor, evento, conductor, duda, modernizacion, gratuito, favor, felicidades, regreso, mil, fomentar, auto, correcto, margarita, pilar, organizacion","S0:329, S-1:194, S3:72, S4:48, S2:47, S1:44","{""Twitter"": 21, ""Instagram"": 10, ""Facebook"": 8, ""TikTok"": 3}",0.0476,0.5722,0.0879,0.0254,0.0254,0.0405,23.3,bajo,apoyo_defensa,Apoyo/defensa,0.9444,70.0,2.0,72.0,385,49
T00_P2,0,2,Felicitaciones y expresiones de afecto,Felicitaciones Expresiones Afecto,"Felicitaciones y expresiones de afecto. Grupo de 58 cuentas dentro de Gestión municipal y servicios públicos · impulsar; usa principalmente tampico, seguir, tampicotecuida, excelente, gracias, oportunidad. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",58,199,617,"tampico, seguir, tampicotecuida, excelente, gracias, oportunidad, impulsar, felicidades, equipo, felicidad, salud, turismo, villarreal, generar, municipal, monica, esperar, evento, nino, alcaldesa, centro, gratuito, historico, favor, duda, fomentar, ruiz, entrada, deportivo, emprendedor, auto, deportiva, mil, viva, derrama, clase, correcto, pilar, organizacion, gracia, regreso, precio, fiesta, festival, vivar, restaurante, modernizacion, renovar","S1:229, S3:134, S-1:104, S2:53, S0:46, S4:31","{""Facebook"": 37, ""YouTube"": 13, ""Instagram"": 6, ""TikTok"": 1, ""Twitter"": 1}",0.0862,0.5365,0.1062,0.0452,0.1407,0.5231,54.5,medio,apoyo_defensa,Apoyo/defensa,1.0,43.0,0.0,43.0,42,29
T01_P1,1,1,"Perspectiva sobre protesta, derechos y participación · gobernador, con énfasis en americo",Americo Gobernador Justicia,"Perspectiva sobre protesta, derechos y participación · gobernador, con énfasis en americo. Grupo de 24 cuentas dentro de Protesta, derechos y participación · gobernador; usa principalmente americo, gobernador, justicia, zapata, exigir, abuela. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",24,35,158,"americo, gobernador, justicia, zapata, exigir, abuela, laura, martinez, pedir, ofrecer, voto, mandatario, ingreso, impune, confianza, asegurar, investigacion, familia, fallecer, esclarecer, aplicar, marcha, resolucion, perder, sorgo, respuesta","S2:65, S0:52, S6:15, S8:7, S1:7, S7:6","{""Twitter"": 21, ""Instagram"": 2, ""YouTube"": 1}",0.0,0.3354,0.0493,0.2857,0.0857,0.1429,53.1,medio,apoyo_defensa,Apoyo/defensa,1.0,15.0,0.0,15.0,31,9
T01_P2,1,2,"Familia, cuidados y vida comunitaria",Familia Cuidados Vida,"Familia, cuidados y vida comunitaria. Grupo de 21 cuentas dentro de Protesta, derechos y participación · gobernador; usa principalmente justicia, familia, investigacion, ley, exigir, gobernador. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",21,26,97,"justicia, familia, investigacion, ley, exigir, gobernador, mama, madre, confianza, americo, alejandra, pedir, aplicar, recibir, voto, respaldar, merecido, marcha, fallecer, zapata, premio, peso, abuela, amor, asegurar, luz, obtener","S0:31, S1:18, S3:16, S2:10, S5:10, S8:7","{""YouTube"": 15, ""Twitter"": 4, ""Facebook"": 2}",0.0,0.4742,0.0788,0.1538,0.0769,0.0,45.3,medio,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,4,1
T02_P1,2,1,"Perspectiva sobre méxico y asuntos nacionales · servicio, con énfasis en mexico",Mexico Entrar Servicio,"Perspectiva sobre méxico y asuntos nacionales · servicio, con énfasis en mexico. Grupo de 20 cuentas dentro de México y asuntos nacionales · servicio; usa principalmente mexico, entrar, servicio, anunciar, directo, producto. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",20,27,91,"mexico, entrar, servicio, anunciar, directo, producto, fiscal, crecimiento, marca, victima, asesino, dolares, fernando, fuerte, san, situacion, atender, ala, afectar, electrico, golfo, generacion, fractura, especial, evidencia, campeonato, cuanto, intencion, producir, previo, oficina, objetivo, inscripcion, renovacion, tramite, vigilancia","S3:32, S0:12, S1:12, S2:10, S4:8, S7:7","{""YouTube"": 12, ""Twitter"": 7, ""Instagram"": 1}",0.0,0.3846,0.0574,0.1111,0.037,0.25,44.1,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,5,0
T03_P1,3,1,Respaldo y defensa de la gestión,Respaldo Defensa Gestión,"Respaldo y defensa de la gestión. Grupo de 4 cuentas dentro de Comunidad, familia y vida cotidiana · federal; usa principalmente mujer, energia, iniciativa, corazon, beneficiar, apoyar. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",4,8,19,"mujer, energia, iniciativa, corazon, beneficiar, apoyar, federal, participacion, patria, tierra, venir","S6:8, S2:4, S0:3, S5:2, S-1:1, S7:1","{""YouTube"": 2, ""Facebook"": 1, ""Twitter"": 1}",0.0,1.0,0.2909,0.25,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,6,0
T04_P1,4,1,"Noticias, columnas y agenda informativa",Noticias Columnas Agenda,"Noticias, columnas y agenda informativa. Grupo de 14 cuentas dentro de Opiniones generales y contenido compartido; usa principalmente columna, quedar, mandar, noticias, buscar, correo. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",14,49,343,"columna, quedar, mandar, noticias, buscar, correo, cartones, informativo, conversacion, resumen, libertad, casa, francia, expresion, responsabilidad, ganar, emitir, articulo, editorial, respetar, opinion, toro, combustible, corona, culminar, basico, delincuencia, fuerza, guardia, proyectar, comenzar, tercer, robo, talento, isaac, futbolista, logro, volar, expediente, terminar, organizado, prometer, practica, importacion, contrabando, funcionario, clandestino, falla, drenaje, decada, cuento, hidrocarburo, sexenio, terreno, transparencia","S3:83, S1:82, S2:60, S4:50, S0:41, S5:27","{""Twitter"": 7, ""YouTube"": 6, ""Medios"": 1}",0.0,0.9155,0.657,0.0612,0.0,0.0,23.5,bajo,critica_oposicion,Crítica/oposición,-1.0,0.0,1.0,1.0,1,1
T05_P1,5,1,Críticas y acusaciones de corrupción,Críticas Acusaciones Corrupción,"Críticas y acusaciones de corrupción. Grupo de 198 cuentas dentro de Corrupción y rendición de cuentas · morena; usa principalmente deber, pasar, querer, pais, corrupto, pueblo. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",198,252,997,"deber, pasar, querer, pais, corrupto, pueblo, creer, tren, salir, dinero, cosa, caer, dejar, puro, hablar, culpable, detener, carcel, robar, hijo, nina, rata, problema, parecer, ratero, meter, pensar, delincuente, amlo, pan, prian, malo, senor, gustar, mal, ojala, claro, matar, corrupcion, asesinato, inocente, alguien, aduana, proteger, razon, tocar, comprar, cara, chivo, votar, resultar, obrador, mentiroso, castigar, ernesto, expiatorio, mayoria, ojo, supuesto, miedo","S1:168, S2:159, S4:121, S3:95, S5:93, S6:88","{""YouTube"": 182, ""Twitter"": 15, ""Instagram"": 1}",0.0354,0.0742,0.0064,0.0357,0.0079,0.5763,27.4,bajo,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0,7,1
T05_P2,5,2,Críticas y acusaciones de corrupción,Críticas Acusaciones Corrupción,"Críticas y acusaciones de corrupción. Grupo de 76 cuentas dentro de Corrupción y rendición de cuentas · morena; usa principalmente morena, lopez, corrupto, cabeza, adan, criminal. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",76,91,458,"morena, lopez, corrupto, cabeza, adan, criminal, obrador, augusto, mario, pais, pasar, delgado, creer, pueblo, cartel, corrupcion, movimiento, ratero, hermano, querer, dejar, deber, caer, cara, puro, crimen, claro, carcel, amlo, falso, detener, oposicion, proteger, bola, empezar, tren, senor, mayoria, ernesto, mero, aduana, culpar, acabar, hijo, problema, inepto, hablar, mentiroso, serio, robar, rey, regimen, poderoso, impunidad, dinero, delincuente, rata, razon, pan, mentira","S0:186, S5:44, S2:41, S1:38, S7:32, S6:24","{""YouTube"": 60, ""Twitter"": 16}",0.0658,0.1965,0.0205,0.0549,0.022,0.0,18.3,bajo,critica_oposicion,Crítica/oposición,-1.0,0.0,8.0,8.0,19,5
T06_P1,6,1,"Perspectiva sobre movilidad e infraestructura urbana · construccion, con énfasis en america",America Campeon Dedicacion,"Perspectiva sobre movilidad e infraestructura urbana · construccion, con énfasis en america. Grupo de 12 cuentas dentro de Movilidad e infraestructura urbana · construccion; usa principalmente america, campeon, dedicacion, pequeno, orgullo, puebla. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",12,27,64,"america, campeon, dedicacion, pequeno, orgullo, puebla, esfuerzo, representar, torre, conquistar, derechos, deportista, marino, juego, humanos, formar, enfrentar, otorgar, proponer, violencia","S0:43, S2:10, S4:4, S5:3, S6:3, S3:1","{""YouTube"": 7, ""Facebook"": 3, ""Instagram"": 2}",0.0,0.6406,0.1592,0.3333,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
